Message_id,Person Who Felt the Emotion,Gender,Cause
s79_bolly,character 1,likely male,making fun of God
s80_bolly,Suman,Female,not acknowledging someone's presence
s81_bolly,Sushant Seth and Deepak Kumar,Male,irresponsible conduct
s82_bolly,Sushant's punishers,Male,not punishing Sushant
s83_bolly,Sushant,Male,being let off for an unspecified action
s84_bolly,Prince,Male,falling in love with a girl of lower social status
s85_bolly,son,male,disobedience and disrespect towards father
s86_bolly,son,male,disobedience and disrespect towards father
s87_bolly,girl,female,promiscuity
s88_bolly,woman,female,promiscuity
s89_bolly,child,,inappropriate behavior
s90_bolly,character 1,likely female,expressing sexual desires
s91_bolly,Ravi,Male,drug abuse and disrespecting elder brother
s92_bolly,woman,female,being accused of immorality
s93_bolly,unidentified character,,theft
s94_bolly,unemployed youngsters,Male,unemployment
s95_bolly,suitors,Male,not being serious about marriage
s96_bolly,man,male,cowardice
s97_bolly,young man,Male,not being chivalrous
s98_bolly,youngsters,Male,lack of chivalry
s99_bolly,Sushant Seth and Deepak Kumar,Male,irresponsible conduct
s100_bolly,Sushant's punishers,likely male,letting Sushant off without punishment
s101_bolly,Sushant,Male,being let off for an unspecified action
s102_bolly,millionaire,Male,being poor despite being a millionaire
s103_bolly,youngsters,male,unemployment and lack of talent
s104_bolly,suitors,Male,not being present when called upon
s105_bolly,young man,Male,not being chivalrous
s106_bolly,youngsters,Male,lack of chivalry
s107_bolly,man,male,not able to provide demanded money
s108_bolly,Unnamed Character,Not clear,Unspecified inappropriate behavior
s109_bolly,student,male,disrespecting teacher
s110_bolly,student,male,disrespecting and deceiving teacher
s111_bolly,sister,Female,inappropriate sexual behavior
s112_bolly,Jaya,Female,Ruining another woman's life
s113_bolly,man,male,begging for his life
s114_bolly,Neelo,Female,Being intimate with spouse in front of others
s115_bolly,Neelo,Female,Being shy to show affection in public
s116_bolly,Inspector Subhash,Male,Drinking during duty hours
s117_bolly,Adarsh's mother,Female,son's criminal activities
s118_bolly,man,male,exploiting a woman for money and not marrying her
s119_bolly,character 1,Male,drug use
s120_bolly,harasser,Male,harassment
s121_bolly,character 1,Male,inappropriate conversation
s122_bolly,woman,female,invasion of privacy
s123_bolly,Ravi,Male,disrespecting elders
s124_bolly,Kiran,Male,Being called shameless
s125_bolly,Ahinsak,Male,lying
s126_bolly,Ahinsak,Male,being referred to as a child
s127_bolly,him,male,being publicly shamed by a woman
s128_bolly,Raji Reddy's daughter,Female,cancellation of marriage
s129_bolly,brother-in-law,Male,gambling while family member is ill
s130_bolly,speaker,male,inappropriate behavior towards a married woman
s131_bolly,woman,female,infidelity
s132_bolly,character,male,stealing and selling someone's chain
s133_bolly,speaker,male,being a thief and unreliable
s134_bolly,son,male,having uneducated friends
s135_bolly,character being bitten,likely male,inappropriate behavior
s136_bolly,character 1,likely male,inappropriate behavior
s137_bolly,character arguing,,arguing in presence of elders
s138_bolly,daughter,female,going against father's decision
s139_bolly,Nathu,Male,Talking too much/Interfering
s140_bolly,woman,female,waiting for a man who doesn't reciprocate her feelings
s141_bolly,man,male,taking advantage of love for money
s142_bolly,servant,male,inappropriate behavior
s143_bolly,poor man,Male,being rejected in love
s144_bolly,Daddy's daughter,Female,Being associated with a lower class individual
s145_bolly,son,male,crossing limits/behaving inappropriately
s146_bolly,child,gender unknown,disappointing the parent
s147_bolly,Diwan,Male,Insulting and threatening
s148_bolly,Mr. Cooper,Male,not being able to make a counter offer
s149_bolly,Mr. Cooper,Male,inability to make a counter offer
s150_bolly,father,male,prioritizing wealth over children
s151_bolly,character 1,likely female,refusing to undress
s152_bolly,first speaker,likely female,being accused of shamelessness
s153_bolly,girl,female,inappropriate relationship
s154_bolly,Rita's lover,Male,playing around with innocent girls
s155_bolly,Unnamed Male Character,Male,Harassing innocent girls
s156_bolly,Babji,Male,inappropriate behavior in public
s157_bolly,Shammi,Male,Unemployment
s158_bolly,thieves,,stealing
s159_bolly,husband,male,alcoholism and neglecting responsibilities
s160_bolly,woman,female,infidelity/adultery
s161_bolly,man,male,gambling his wife
s162_bolly,Unnamed Character,,Unspecified shameful acts
s163_bolly,character being addressed,,denying water to someone's fields
s164_bolly,woman,female,pregnancy out of wedlock
s165_bolly,woman,female,pregnancy out of wedlock
s166_bolly,woman,female,stealing food
s167_bolly,doctor,male,making a mistake
s168_bolly,girl,female,getting a letter written by a servant
s169_bolly,servant,female,being illiterate
s170_bolly,individual,likely female,lack of domestic skills and literacy
s171_bolly,character 2,male,feeling shy to talk to a girl's mother
s172_bolly,speaker,male,being asked to do something he is uncomfortable with
s173_bolly,Mother,Female,Attacking family honor
s174_bolly,Brij Bhushan,Male,creating a voluptuous sculpture of a goddess
s175_bolly,younger mistress,Female,being compared to an idol
s176_bolly,person being addressed,likely male,abuse of power and authority
s177_bolly,Vikas's father,Male,not living up to expectations
s178_bolly,police department,,internal corruption and violence
s179_bolly,character 1,,suggesting not to attend a social event
s180_bolly,girl,female,tarnishing family's image
s181_bolly,son,male,failure and lack of resilience
s182_bolly,Gaya,Male,Greed for money
s183_bolly,speaker,male,inability to protect himself and religious discrimination
s184_bolly,character,,accepting charity
s185_bolly,son,male,not living up to father's expectations
s186_bolly,man,male,alcoholism
s187_bolly,coconut seller,Male,lying
s188_bolly,character being compared to Gandhi and Jesus,likely male,comparing himself to revered figures
s189_bolly,husband,Male,domestic violence
s190_bolly,man,male,drinking alcohol
s191_bolly,gambler,male,gambling
s192_bolly,character being accused,,lying
s193_bolly,character comparing himself to Gandhi and Christ,likely male,arrogance and disrespect towards revered figures
s194_bolly,wife,female,physical abuse
s195_bolly,Dinanath,Male,not giving up the necklace
s196_bolly,old man,Male,voyeurism
s197_bolly,man,male,inappropriate behavior
s198_bolly,teasers,male,teasing a woman
s199_bolly,old man,Male,voyeurism
s200_bolly,man,male,inappropriate behavior
s201_bolly,woman,female,teasing/harassment
s202_bolly,fighter,male,losing a fight
s203_bolly,fighter,male,losing a fight
s204_bolly,Madan,Male,Being shameless possibly for asking for more tea)
s205_bolly,couple,both,premarital cohabitation
s206_bolly,speaker,likely male,class distinction
s207_bolly,daughter,female,inappropriate dressing
s208_bolly,sister,Female,mistreatment of family member
s209_bolly,man,male,behaving inappropriately
s210_bolly,local people,,not standing against injustice
s211_bolly,Draupadi's suitors,Male,lack of bravery
s212_bolly,Arjun,Male,not protecting a female character
s213_bolly,Arjun,Male,not protecting someone
s214_bolly,Draupadi's suitors,Male,lack of bravery
s215_bolly,Arjun,Male,not protecting a woman
s216_bolly,Arjun,Male,not protecting someone
s217_bolly,character in the dress,likely female,wearing inappropriate clothing
s218_bolly,Sanjay Sharma,Male,Disrespecting women
s219_bolly,girl,female,talking about Kama Sutra
s220_bolly,Mr. Dixit,Male,not inviting to daughter's wedding
s221_bolly,character being scolded,likely male,disrespecting a woman
s222_bolly,sister-in-law,Female,hiding the truth about her marriage
s223_bolly,speaker,female,wearing noisy anklets
s224_bolly,J.K.'s wife,Female,Insulting and degrading wife in public
s225_bolly,woman,female,moral degradation and loss of beauty
s226_bolly,Pooja,Female,Victim of rape
s227_bolly,Aryan,Male,lack of confidence and focus in boxing
s228_bolly,Mrs. Braganza,Female,inappropriate behavior in public
s229_bolly,father,male,encouraging children to commit crimes
s230_bolly,son,male,disappointing behavior
s231_bolly,character,male,not living up to expectations
s232_bolly,person being addressed,likely male,disrespecting parents' wishes
s233_bolly,Vijay,Male,doubting the relationship of his siblings
s234_bolly,speaker,male,working night shifts
s235_bolly,husband,Male,domestic violence
s236_bolly,Unnamed character,,lack of education
s237_bolly,speaker,likely male,lagging behind in studies
s238_bolly,Brother,Male,playing with a woman's life
s239_bolly,people caught in raid,,committing illegal acts
s240_bolly,people caught in raid,,committing illegal or socially unacceptable acts
s241_bolly,cruel man,Male,inhumane actions
s242_bolly,Gopi,Male,not going to the bathroom before school
s243_bolly,Gopi,Male,not taking responsibility
s244_bolly,girls,Female,behaving immodestly with boys
s245_bolly,nieces,female,immodest behavior with boys
s246_bolly,beggar,male,begging
s247_bolly,Nisha and Usha,Female,Disobeying family rules
s248_bolly,Gopi,Male,inappropriate behavior
s249_bolly,character in borrowed clothes,likely male,wearing someone else's clothes without permission
s250_bolly,grand-daughter's prospective in-laws,,accepting mistakes and continuing with the marriage
s251_bolly,Malhotra's family,,hiding the truth
s252_bolly,Mr Kapoor,Male,not arranging his child's wedding
s253_bolly,daughter,female,disrespecting her father
s254_bolly,man,male,being publicly shamed by a woman
s255_bolly,Raji Reddy's daughter,Female,cancellation of marriage
s256_bolly,speaker,likely male,inappropriate behavior
s257_bolly,grocery buyer,,poor quality grocery shopping
s258_bolly,daughter-in-law,female,mistreating child and making him do chores
s259_bolly,daughter-in-law,female,mistreating a child
s260_bolly,daughter-in-law,female,physical abuse and child exploitation
s261_bolly,character 1,,stealing money for charity
s262_bolly,character 1,,giving money to beggars
s263_bolly,husband,male,living off wife's earnings
s264_bolly,bandit,male,terrorizing women
s265_bolly,Jagga,Male,Being a bandit and terrorizing women
s266_bolly,lawyer,Male,wife's suspicious behavior
s267_bolly,unidentified character,,stealing or hiding something
s268_bolly,character being addressed,,inappropriate behavior
s269_bolly,judge,male,causing an accident and not taking responsibility
s270_bolly,character being flirted with,Not specified,flirting openly
s271_bolly,female character,Female,wearing a swimsuit in public
s272_bolly,woman,female,changing clothes in public
s273_bolly,Rajesh,Male,not respecting traditional rituals
s274_bolly,man,Male,inappropriate public behavior
s275_bolly,man,male,inappropriate behavior with a girl
s276_bolly,man,male,hatred towards him
s277_bolly,woman,female,dishonesty in love
s278_bolly,Jai,Male,Betrayal
s279_bolly,guests,,not being entertained by the host
s280_bolly,guests,,not being properly hosted
s281_bolly,culprit,male,disrespecting a woman
s282_bolly,friend,male,baldness
s283_bolly,character speaking about body's needs,likely female,discussing physical needs openly
s284_bolly,Babbad,Male,physical violence
s285_bolly,politicians,,poor governance
s286_bolly,speaker,male,losing a game
s287_bolly,character with specs,,eating while others are fasting
s288_bolly,uncle,Male,giving away daughter-in-law
s289_bolly,character,Male,inappropriate behavior
s290_bolly,character 1,likely male,lack of shame and self-awareness
s291_bolly,Raja,Male,Being friendly with a local goon
s292_bolly,son,male,defending a hoodlum
s293_bolly,Rani's partner,Male,indecent exposure
s294_bolly,daughter,female,eloping with a man her father disapproves of
s295_bolly,daughter,female,disobeying father's orders
s296_bolly,character being addressed,likely male,interfering in other's life
s297_bolly,woman,female,infidelity
s298_bolly,Vijay,Male,hiding behind a female
s299_bolly,Pooja,Female,Unwanted pregnancy
s300_bolly,Vijay,Male,physical disability
s301_bolly,Vijay,Male,being evil and not living up to expectations
s302_bolly,character being addressed,likely female,getting married soon after a death
s303_bolly,Vijay,Male,causing harm to a friend
s304_bolly,daughter,female,behaving inappropriately with a man
s305_bolly,girl,female,behaving against traditional norms
s306_bolly,Girdhar,Male,public misbehavior and past criminal record
s307_bolly,peeping tom,Male,invading privacy
s308_bolly,unidentified character,,inappropriate behavior
s309_bolly,daughter,female,sneaking out
s310_bolly,daughter,female,sneaking out and causing gossip
s311_bolly,hacker,male,hacking into a system
s312_bolly,Police Department,,failure to maintain law and order
s313_bolly,Police Department,,failure to maintain law and order
s314_bolly,Police Department,,incompetence
s315_bolly,Police Department,,Inefficiency or corruption
s316_bolly,sister,female,forgetting past humiliation and suffering
s317_bolly,woman,Female,physical assault
s318_bolly,speaker,,meeting Rajni
s319_bolly,husband,Male,having only two children
s320_bolly,Madan Chopra's daughter,Female,secret love affair
s321_bolly,speaker,male,deceit and mistakes
s322_bolly,speaker's partner,likely male,suspicion and jealousy
s323_bolly,Madan Chopra's daughter,Female,secret love affair
s324_bolly,speaker,male,deceit and mistakes
s325_bolly,speaker's lover,Male,suspicion and jealousy
s326_bolly,Madan Chopra's daughter,Female,secret love affair
s327_bolly,speaker,male,deceit and mistakes
s328_bolly,speaker's lover,Male,suspicion and jealousy
s329_bolly,woman,female,public display of affection
s330_bolly,Gul,Female,Immoral behavior
s331_bolly,Monty,Male,Not reciprocating love
s332_bolly,character apologizing,likely male,not respecting another's autonomy
s333_bolly,couple,both,public display of affection
s334_bolly,Gul,Female,Betrayal
s335_bolly,Monty,Male,inappropriate behavior
s336_bolly,Monty,Male,inappropriate behavior with a corpse
s337_bolly,unnamed character,,controlling a woman's life
s338_bolly,Mr. Sinha's son,Male,Disrespectful behavior
s339_bolly,Mr Sinha,Male,inappropriate behavior
s340_bolly,father,male,drinking and irresponsible behavior
s341_bolly,Amrit,Male,Deception
s342_bolly,daughter,female,deceiving her father
s343_bolly,family members,,disrespect towards elders and inappropriate behavior
s344_bolly,character,,corruption
s345_bolly,Grandma,Female,drinking milk secretly
s346_bolly,grandmother,female,teaching children to steal
s347_bolly,grandma,female,teaching children to steal
s348_bolly,villagers,,behaving inhumanely
s349_bolly,unidentified officer,Male,lack of trust and discipline
s350_bolly,tempo owners,Male,unethical business practices
s351_bolly,police officer,Male,stealing while on duty
s352_bolly,Zorawar,Male,cheating and evading the police
s353_bolly,Nakul and his wife,Female and Male,not having children
s354_bolly,Priyam,Female,damaging family's reputation
s355_bolly,speaker,male,inappropriate behavior
s356_bolly,daughter,female,suggesting to film a private event
s357_bolly,guy in the jacket,Male,wearing a mask
s358_bolly,woman,female,disrespecting elders
s359_bolly,Unnamed Character,Likely Male,Misbehavior
s360_bolly,homeguard team,,failure to perform duty
s361_bolly,character,Female,associating with a mass killer
s362_bolly,unknown,unknown,disrespecting a holy place
s363_bolly,wife of a mass killer,Female,being wife of a mass killer
s364_bolly,grandpa,male,disrespecting guru
s365_bolly,disciple,Male,caste discrimination
s366_bolly,Sarge,Male,forcing a girl into marriage
s367_bolly,Sarge,Male,forcing a girl into marriage
s368_bolly,Amar,Male,Betrayal and Deception
s369_bolly,elderly man,Male,behaving inappropriately with younger women
s370_bolly,younger brother,Male,trying to take advantage of a crisis
s371_bolly,cheat,,dishonesty
s372_bolly,Zeenat,Female,Being ill-fated and shameless
s373_bolly,accuser,,false accusation
s374_bolly,Madhuri and her mother,Female,Humiliation in the village
s375_bolly,Shreekant and his family,Male,Leaving the village after humiliation
s376_bolly,Amit,Male,Infidelity
s377_bolly,Amit,Male,Infidelity
s378_bolly,son-in-law,Male,eavesdropping and falling in love
s379_bolly,Gauri,Female,Roaming around with a boy
s380_bolly,Gauri,Female,Roaming around with a boy of unknown caste
s381_bolly,Mohan,Male,Unknown parentage and caste
s382_bolly,singer,male,expressing emotions openly
s383_bolly,speaker,,feeling of guilt or regret
s384_bolly,Gauri,Female,meeting Baiju at night
s385_bolly,Gauri,Female,meeting a man at night
s386_bolly,Gauri's father,Male,daughter's alleged inappropriate behavior
s387_bolly,son,male,causing trouble without thinking
s388_bolly,Baiju,Male,Disrespectful behavior
s389_bolly,individual,likely male,adulteration and drinking
s390_bolly,Amit,Male,causing emotional distress
s391_bolly,offender,,bad manners
s392_bolly,Vicki,Male,Unfair treatment and actions leading to shame
s393_bolly,Dad,Male,not being a good father
s394_bolly,Uncle,Male,inappropriate behavior with niece
s395_bolly,character in question,likely female,betraying trust and engaging in romantic activities without permission
s396_bolly,Unnamed Female Character,Female,Infidelity
s397_bolly,father,male,daughter leaving home
s398_bolly,residents of the place,,living in sin and dishonoring women
s399_bolly,husband,male,flirting despite being married
s400_bolly,beloved,Male,infidelity
s401_bolly,husband,male,infidelity
s402_bolly,Beloved,Male,Infidelity
s403_bolly,husband,male,considering remarriage after spouse's death
s404_bolly,husband,male,considering remarriage after spouse's death
s405_bolly,Vijay,Male,hiding behind a female
s406_bolly,Pooja,Female,Unwanted pregnancy
s407_bolly,Vijay,Male,physical disability
s408_bolly,Vijay,Male,being evil and not living up to expectations
s409_bolly,person being addressed,likely female,getting married soon after a death
s410_bolly,Vijay,Male,causing harm to a friend
s411_bolly,Raju,Male,physical assault and public humiliation
s412_bolly,Richie Rich,Male,inappropriate behavior for his age and illegal marriage
s413_bolly,man,male,forcing himself on a woman
s414_bolly,girl,female,forced marriage
s415_bolly,maid,female,eavesdropping
s416_bolly,maid,female,not performing duties properly
s417_bolly,inspector,male,arresting his own sisters
s418_bolly,speaker,,building a large house
s419_bolly,speaker,male,competition and comparison with others
s420_bolly,speaker,likely male,causing shame to his daughter
s421_bolly,speaker,likely male,begging
s422_bolly,Shadilal,Male,incompetence/failure
s423_bolly,Tamim,Male,being a terrorist
s424_bolly,Grease,Male,ashamed of his talent
s425_bolly,dancer,female,picking up money with mouth
s426_bolly,Banjo player,Male,playing a less respected instrument
s427_bolly,elderly man,Male,not behaving according to age
s428_bolly,Champak,Male,Accusing and abusing a girl over the phone
s429_bolly,character being addressed,likely male,cowardice and job loss
s430_bolly,state officers,,corruption and misconduct
s431_bolly,Mehmoodbhai,Male,fear of testifying
s432_bolly,Sunder,Male,Choosing a stranger over his real brother
s433_bolly,Neha's Aunt,Female,supporting the enemy
s434_bolly,commissioner's son,Male,being proud of father's achievements
s435_bolly,character,male,being accused of inappropriate behavior with a girl
s436_bolly,boy,Male,trying to buy a girl's decision with money
s437_bolly,Badal,Male,being in love
s438_bolly,Badal,Male,being in love
s439_bolly,Badal,Male,trying to deceitfully acquire property
s440_bolly,defeated man,Male,losing a match
s441_bolly,Kaliram,Male,loss of honour
s442_bolly,Rajni's assaulter,Male,Attempting to dishonour a blind girl
s443_bolly,defeated man,Male,losing a match
s444_bolly,Kaliram,Male,loss of honour
s445_bolly,character,male,being accused of inappropriate behavior with a girl
s446_bolly,boy,Male,trying to buy a woman's decision with money
s447_bolly,Son Badal,Male,Being in love
s448_bolly,people who don't understand love,,not understanding love
s449_bolly,Badal,Male,trying to deceitfully acquire property
s450_bolly,person being accused of stealing,,stealing
s451_bolly,public servant,,betrayal of public trust
s452_bolly,receiver of happiness,,being overly friendly or affectionate
s453_bolly,character being addressed,likely male,lack of religious belief
s454_bolly,Daddy,Male,mistreatment of family member
s455_bolly,character 1,likely male,greed and lack of morality
s456_bolly,man,male,lying and marrying for wealth
s457_bolly,person trying to escape,,trying to escape
s458_bolly,person being addressed,,disrespecting an authority figure
s459_bolly,SPTL,,causing electricity issues
s460_bolly,character,male,working for the perceived enemy
s461_bolly,Roop's brother-in-law,Male,committing murder
s462_bolly,aunts,Female,not participating in housework
s463_bolly,aunts,Female,laziness or unwillingness to do housework
s464_bolly,man,male,not helping a woman
s465_bolly,man,male,drinking alcohol in front of children
s466_bolly,girl,female,dishonoring family
s467_bolly,person being criticised,likely male,criticising someone who is trying to help
s468_bolly,character being advised,,not apologizing
s469_bolly,speaker,likely female,being disowned by family
s470_bolly,Intruder,Male,Intruding into women's area
s471_bolly,Salim,Male,Intruding despite being told not to
s472_bolly,daughter,female,association with a man considered inappropriate
s473_bolly,old man,Male,mistreatment of a woman
s474_bolly,Kanhaiya,Male,Being attacked/physical harm
s475_bolly,Begum Jaan,Female,Disrespecting authority
s476_bolly,Kavita,Female,laughing at inappropriate jokes
s477_bolly,man,male,disrespecting a friend's relationship
s478_bolly,woman,female,inappropriate behavior
s479_bolly,speaker,male,depending on others for survival
s480_bolly,woman,female,using men's toilet
s481_bolly,men,Male,inappropriate behavior in public places
s482_bolly,bar worker,male,working in a ladies bar
s483_bolly,speaker,female,working in a disreputable place
s484_bolly,bar worker,male,working in a ladies bar
s485_bolly,speaker,female,working in a place considered disreputable
s486_bolly,Dayashankar,Male,rebelling against his father
s487_bolly,Mrs Malhotra's acquaintance,Female,being involved with a married man
s488_bolly,girl,female,being involved with a married man
s489_bolly,character being addressed,likely male,aimlessness and pursuing a woman
s490_bolly,Babua,Male,talking about his own marriage
s491_bolly,Raja,Male,Drinking alcohol
s492_bolly,rogue,Male,drinking alone
s493_bolly,girl,female,associating with lower social class
s494_bolly,girl,female,loving a person of lower social status
s495_bolly,character being called monkey,Male,physical appearance
s496_bolly,proposed husband,Male,lack of capability to be a good husband
s497_bolly,Konika,Female,Disrespecting her father-in-law
s498_bolly,character 1,likely male,pursuing someone relentlessly
s499_bolly,daughter,female,committing a socially unacceptable act
s500_bolly,Saraswati,Female,committing a socially unacceptable act
s501_bolly,Saraswati,Female,not being married
s502_bolly,Kunika,Female,speaking ill about her father-in-law
s503_bolly,Kunika,Female,Disrespecting her father-in-law
s504_bolly,person being addressed,likely male,lack of physical endurance
s505_bolly,girls,Female,not adhering to modesty norms
s506_bolly,Dingy,Female,breaking her promise
s507_bolly,girl,female,being disloyal
s508_bolly,Buzo,Male,Misbehaving at a wedding
s509_bolly,character 1,likely male,reckless behavior
s510_bolly,mother,female,daughter's aggressive behavior
s511_bolly,speaker,likely male,laziness and lack of effort
s512_bolly,speaker,likely male,laziness and theft
s513_bolly,speaker 2,male,inappropriate flirting
s514_bolly,speaker,male,inappropriate behavior
s515_bolly,truck driver,Male,being overtaken by a smaller vehicle
s516_bolly,Raghu,Male,not taking care of his children
s517_bolly,man,male,neglecting his responsibilities towards his children
s518_bolly,children,,causing fights and disturbances
s519_bolly,aunt,female,not attending a family event
s520_bolly,Bihari,Male,asking for money
s521_bolly,Mahesh,Male,stealing and showing off
s522_bolly,unidentified man,Male,neglecting his children
s523_bolly,unidentified man,Male,neglecting his responsibilities
s524_bolly,kids,,causing fights in the house
s525_bolly,speaker,male,neglecting family responsibilities
s526_bolly,Bihari,Male,asking for money
s527_bolly,Rupa,Female,not fulfilling expectations
s528_bolly,Speaker,Likely Male,Not providing money for alcohol
s529_bolly,Rupa,Female,Staying out late at night
s530_bolly,Manju Anju Sanju,Female,Attending parties frequently
s531_bolly,Anjali,Female,being made to feel guilty for her choices
s532_bolly,girl,female,being with a man in a secluded place
s533_bolly,girl,Female,being in a secluded place with a stranger
s534_bolly,character being praised,Male,slow promotion
s535_bolly,car seller,Male,low price offer for the car
s536_bolly,girl,female,promiscuity
s537_bolly,guy,Male,physical assault
s538_bolly,miser,male,not providing for family
s539_bolly,person being accused,likely male,not providing for the family
s540_bolly,man,Male,stealing from children
s541_bolly,Nisha,Female,lying and impersonation
s542_bolly,guy,Male,physical assault
s543_bolly,miser,male,not providing for family
s544_bolly,person being accused,,not providing for the family
s545_bolly,man,Male,stealing from children
s546_bolly,Nisha,Female,lying and deception
s547_bolly,Haji Gaffar Ali Khan,Male,Obsession with Rani Nirmala Devi
s548_bolly,Shambu,Male,Accusing a widow
s549_bolly,speaker,,changing someone's destiny
s550_bolly,man,male,disrespecting a woman
s551_bolly,Shambu,Male,Accused of murder
s552_bolly,Shambu,Male,breaking the law
s553_bolly,character being addressed,likely male,not conforming to social norms
s554_bolly,woman,female,inappropriate behavior with a stranger
s555_bolly,Slaroop,Male,losing something
s556_bolly,speaker,,loss of a loved one
s557_bolly,sister,female,asking for help or favor
s558_bolly,sister,female,asking for help or favor
s559_bolly,daughter,female,defying father's decision
s560_bolly,servant,Male,not taking care of entrusted possession
s561_bolly,character living with a maidservant,likely male,living with a maidservant
s562_bolly,Mr. Thadani,Male,involvement in a crime
s563_bolly,Chandu,Male,appointing incompetent servants
s564_bolly,man,male,flirting and disrespecting a woman
s565_bolly,stalker,likely male,stalking
s566_bolly,girl,female,being characterless
s567_bolly,girl,female,causing scandal or gossip
s568_bolly,Bhoomi,Female,causing shame to the neighborhood
s569_bolly,Bhoomi,Female,Victim of an ordeal
s570_bolly,daughter,female,being a victim of an ordeal
s571_bolly,Bhoomi's harassers,Male,Sexual harassment
s572_bolly,Banku,Male,bringing the same food everyday
s573_bolly,fiance,Male,breaking promise of marriage
s574_bolly,character objecting to acting with Rajan,likely female,not wanting to act in films or with a specific actor
s575_bolly,prostitute,female,prostitution
s576_bolly,speaker's husband,Male,criminal activities
s577_bolly,football players,,poor performance in the game
s578_bolly,Billu,Male,accepting money/gifts
s579_bolly,speaker,likely female,speaking against someone
s580_bolly,Asha,Female,Disrespecting elders
s581_bolly,speaker,,serving tasted food to a guest
s582_bolly,Sister-in-law,Female,not doing her own laundry
s583_bolly,husband,male,inappropriate behavior
s584_bolly,speaker,gender unknown,fear of being seen in a vulnerable state
s585_bolly,speaker,gender unknown,fear of judgement
s586_bolly,neighbors,,not speaking the same language
s587_bolly,neighbors,,intruding personal space
s588_bolly,wife,female,infidelity
