Message_id,Person Who Felt the Emotion,Gender,Cause
WP245_holly,God-fearing Englishman,male,being a God-fearing Englishman
WP246_holly,Mum,female,child's acting career
WP247_holly,Mary,female,overcoming fear and apprehension
WP248_holly,man,male,taking a step forward in his journey
WP249_holly,therapist,gender NA,making progress in therapy
WP250_holly,Mr Roberts,male,Jack's achievement
WP251_holly,Jack,male,achieving a shared goal
WP252_holly,Margaret,female,being Bert Trautmann's wife
WP253_holly,<both sides,not specified,for playing a wonderful game
WP254_holly,John,male,his dad
WP255_holly,LT. HANNITY,male,
WP256_holly,Soccer Mom,female,managing multiple responsibilities
WP257_holly,Soccer Mom,female,starting a hobby
WP258_holly,Storybook Town,,presenting their star attraction
WP259_holly,Not clear,Not clear,
WP260_holly,Keppel,male,
WP261_holly,,,
WP262_holly,man,male,handling a lot of woman
WP263_holly,Speaker 1,gender not explicit,making a good breakfast
WP264_holly,Mom,female,son's ability to do tricks
WP265_holly,Dad,male,playing a good game
WP266_holly,Unknown,unknown,scaring someone
WP267_holly,bro,male,
WP268_holly,Jeff,male,military service
WP269_holly,father,male,birth of his son
WP270_holly,Mother,female,
WP271_holly,Nick Dunne,male,
WP272_holly,Nick,male,
WP273_holly,Stephen,male,securing budget and bonus for project
WP274_holly,Stephen,male,finishing job on time
WP275_holly,Speaker 1,gender not explicit,taking care of the board
WP276_holly,Brian,male,stealing
WP277_holly,,,
WP278_holly,,,
WP279_holly,girl at slumber party,female,having a high school boyfriend
WP280_holly,unknown,unknown,closing a deal
WP281_holly,BJ,male,
WP282_holly,actor,male,not doing anything he won't be proud of tomorrow
WP283_holly,actor,gender not explicit,not doing anything they won't be proud of tomorrow
WP284_holly,Holmes,male,solving the mystery
WP285_holly,Speaker,gender not explicit,keeping something alive not explicit)
WP286_holly,Grandpa,male,
WP287_holly,Grandpa,male,
WP288_holly,Grandpa,male,becoming a football star
WP289_holly,speaker,gender NA,accomplishments of the people he/she is addressing
WP290_holly,speaker 1,gender NA,preaching Christ through gospel
WP291_holly,My own fault,not specified,self-realization of pride
WP292_holly,Mother,female,
WP293_holly,Lenny the Lion,male,
WP294_holly,Moe,male,
WP295_holly,Moe,male,
WP296_holly,Kid,not specified,standing up for oneself
WP297_holly,Ali,male,delivering message to Green Goose
WP298_holly,Fred Flintstone,male,receiving a medal
WP299_holly,Fred,male,being a hero
WP300_holly,Lord Falworth,male,wearing father's coat of arms honorably
WP301_holly,Mes Anges,gender NA,having the heart of a rhino
WP302_holly,Cowboy,male,
WP303_holly,Dr. Erskine,male,
WP304_holly,speaker 2,gender NA,embracing non-humanity
WP305_holly,MMA analyst,male,being the best MMA analyst
WP306_holly,speaker,male,being a hole digger carpenter bootlegger
WP307_holly,,,
WP308_holly,,,
WP309_holly,,,
WP310_holly,,,
WP311_holly,,,
WP312_holly,man,male,
WP313_holly,Elizabeth,female,
WP314_holly,Elizabeth,female,repenting and confessing her selfish pride
WP315_holly,Danielle,female,
WP316_holly,Mindy,female,
WP317_holly,Riley,Not specified,Not specified
WP318_holly,parent,not specified,child's honesty and integrity
WP319_holly,Miranda,female,
WP320_holly,father,male,running a positive campaign
WP321_holly,Charlotte,female,Anna facing her fears and attending her brother's funeral
WP322_holly,speaker,gender not explicit,punishing pedophiles
WP323_holly,speaker 2,gender NA,punishing pedophiles
WP324_holly,Carmen,female,
WP325_holly,Pablo,male,being the pride of his father's life
WP326_holly,We,male,living a counterculture lifestyle and climbing having no economic value
WP327_holly,speaker,gender not explicit,overcoming physical injuries and learning from them
WP328_holly,child,not specified,having a righteous and good cop father
WP329_holly,Chuckler,gender not explicit,saving Kerri's life
WP330_holly,sweet pea,gender not explicit,for getting a raise
WP331_holly,Apollo Creed,male,being the world champion
WP332_holly,Donnie,male,
WP333_holly,you,gender not explicit,doing their best for themselves
WP334_holly,Adonis,male,for his sensational effort
WP335_holly,speaker,gender NA,making family proud
WP336_holly,speaker 1,gender not explicit,making someone proud by doing something risky
WP337_holly,Adonis,male,being a Creed
WP338_holly,He,male,shooting down enemy aircraft
WP339_holly,speaker,gender not explicit,team's performance
WP340_holly,Beth,female,
WP341_holly,her,female,turning a profit from her website
WP342_holly,speaker,gender not explicit,dedication to work
WP343_holly,speaker,gender NA,quality of work
WP344_holly,Kid,not specified,hunting prey
WP345_holly,Kid,not specified,hunting prey
WP346_holly,man,male,becoming a member of the French Foreign Legion
WP347_holly,speaker 1,gender NA,for the project
WP348_holly,Gentleman,male,being breast-fed till 12 years old
WP349_holly,Mayor,male,winning through strategy
WP350_holly,Holmes,male,solving the mystery
WP351_holly,Kiara,female,becoming queen and ruling the kingdom
WP352_holly,Kiara,female,training to be Queen of the Pride Lands
WP353_holly,Kiara,female,training to be Queen of the Pride Lands
WP354_holly,,,
WP355_holly,,,
WP356_holly,,,
WP357_holly,Simba,male,Kion's potential to become the fiercest animal in the Pride Lands
WP358_holly,,,
WP359_holly,,,
WP360_holly,Dad,male,becoming the leader of the Guard
WP361_holly,Bunga,male,making his dad proud
WP362_holly,Rafiki,male,
WP363_holly,Rafiki,male,becoming the leader of the Lion Guard
WP364_holly,Kion,male,becoming the leader of the Lion Guard
WP365_holly,,,
WP366_holly,,,
WP367_holly,Bunga,male,
WP368_holly,,,
WP369_holly,Dad,male,becoming the new leader of the Lion Guard
WP370_holly,Dad,male,assembling the Pride Lands' best
WP371_holly,,,
WP372_holly,Bunga,male,
WP373_holly,Bunga,male,
WP374_holly,,,
WP375_holly,,,
WP376_holly,,,
WP377_holly,,,
WP378_holly,,,
WP379_holly,,,
WP380_holly,,,
WP381_holly,Kion,male,assembling a strong team
WP382_holly,,,
WP383_holly,Kion,male,being put in charge of the Lion Guard by Simba
WP384_holly,,,
WP385_holly,,,
WP386_holly,,,
WP387_holly,,,
WP388_holly,,,
WP389_holly,,,
WP390_holly,Simba,male,for being the Pride Lands' fiercest bravest fastest strongest and keenest of sight
WP391_holly,,,
WP392_holly,,,
WP393_holly,Simba,male,for uniting the Pride Lands
WP394_holly,,,
WP395_holly,Addie's dad,male,Addie's determination to follow through
WP396_holly,character,gender not explicit,making something of himself
WP397_holly,: speaker,gender NA,making something of himself
WP398_holly,,,
WP399_holly,speaker,gender NA,
WP400_holly,speaker,gender not explicit,for putting effort into work and sharing about self
WP401_holly,mom,female,
WP402_holly,Kateesha,female,becoming valedictorian
WP403_holly,Lindsey,female,being bilingual
WP404_holly,Dad,male,child's successful transformation
WP405_holly,Pop,male,
WP406_holly,Pop,male,
WP407_holly,speaker,gender not explicit,doing proud to someone who was mean to them
WP408_holly,,,
WP409_holly,buddy,male,
WP410_holly,Young man,male,being trustworthy
WP411_holly,We,not specific,creating a world suitable for children
WP412_holly,researcher,not specified,accomplishment in research
WP413_holly,second speaker,gender NA,corrupting the first speaker
WP414_holly,Paris,not specified,being proud of their trade
WP415_holly,we,not clear,being proud of their trade and opportunities they've had
WP416_holly,Mr. Darcy,male,his family and fortune
WP417_holly,he,male,
WP418_holly,He,male,
WP419_holly,,,
WP420_holly,,,
WP421_holly,,,
WP422_holly,,,
WP423_holly,Darcy,male,considering himself superior
WP424_holly,"""I",male,
WP425_holly,Deacon Greathouse,male,meeting Ogeechuck
WP426_holly,Deacon Greathouse,male,
WP427_holly,Mr. Greathouse,male,
WP428_holly,Eustace,male,making a great cake
WP429_holly,Jess,female,starting life over again
WP430_holly,Momma,female,son's great game
WP431_holly,Tony,male,letting God shine through him every day
WP432_holly,Uncle Tom,male,
WP433_holly,Uncle Tom,male,
WP434_holly,speaker,gender NA,for playing a good game
WP435_holly,coach,male,team's performance and their growth
WP436_holly,Unidentified speaker,unknown,giving people hope
WP437_holly,speaker 1,gender not explicit,giving people hope
WP438_holly,Tony,male,winning a game or competition
WP439_holly,Paul,male,learning to do a figure eight in ice-skating
WP440_holly,Unnamed character,unknown,John's academic work
WP441_holly,world's most famous hacker,male,being the world's most famous hacker
WP442_holly,Speaker 1,male,high sperm count
WP443_holly,speaker,gender not explicit,having high-quality sperm
WP444_holly,Charlie,male,
WP445_holly,Charlie,male,for his photography or accomplishment
WP446_holly,Charlie,male,achieving something significant not explicitly mentioned)
WP447_holly,Charlie,male,
WP448_holly,brother,male,
WP449_holly,mother,female,
WP450_holly,Kronoz,gender NA,receiving a scholarship
WP451_holly,Sadie,female,
WP452_holly,Jo,female,
WP453_holly,Frank Taylor,male,owning the greatest general store
WP454_holly,Miss LaHaye's parents,not specified,becoming grandparents
WP455_holly,Miss LaHaye's parents,not specified,becoming grandparents
WP456_holly,Sonny,male,trying to make a life for him and his little brother
WP457_holly,parents,not specified,making a life for sibling
WP458_holly,Jeff,male,growing up to be a man his father would be proud of
WP459_holly,Jeff,male,growing up to be a man his father would be proud of
WP460_holly,Willie and speaker,not specified,Jeff taking the name of LaHaye
WP461_holly,town,not identifiable,civic improvements
WP462_holly,first speaker,gender NA,standing up for the town
WP463_holly,speaker 1,gender not explicit,making something that lasts a generation or two
WP464_holly,speaker,gender not explicit,Lillian's intelligence
WP465_holly,Lee's wife,female,marrying Lee
WP466_holly,Mr. Wolff,male,
WP467_holly,speaker 1,gender NA,going to Cancun
WP468_holly,,,
WP469_holly,Unidentified Speaker,Unknown,
WP470_holly,grandpa,male,
WP471_holly,Snoop,male,Dr. Dre becoming a billionaire
WP472_holly,man,male,having it all
WP473_holly,man,male,achieving something not explicit)
WP474_holly,man,male,achieving a dream
WP475_holly,speaker,gender NA,personal achievements and disappointments
WP476_holly,speaker,gender NA,being someone others can be proud of
WP477_holly,buddy,male,for putting on a good show
WP478_holly,,,
WP479_holly,,,
WP480_holly,,,
WP481_holly,Miss Stevens,female,
WP482_holly,Margot,female,for moving on
WP483_holly,Dad,male,his son running the company with him
WP484_holly,No-one,,
WP485_holly,,,
WP486_holly,Speaker 1,gender not explicit,clarity of the songs
WP487_holly,speaker,gender NA,clarity of the songs
WP488_holly,Maria,female,
WP489_holly,Speaker 1,gender not explicit,winning the Dance Battle Zone
WP490_holly,speaker 1,gender not explicit,
WP491_holly,Queen of England,female,Princess Elizabeth's first official review
WP492_holly,Dad,male,going to serve as a doctor for soldiers
WP493_holly,speaker 2,gender NA,having a blue star in the window symbolizing a family member serving in the military)
WP494_holly,Molly,female,
WP495_holly,Mrs. Gilford,female,her son's life achievements
WP496_holly,Dutch,male,Aunt Eleanor being adventurous and doing what she has to do
WP497_holly,speaker,gender not explicit,doing what they love and making music
WP498_holly,He,male,getting into Stanford
WP499_holly,Kevin Baugh,male,being the president of a land
WP500_holly,you,gender NA,having own nation
WP501_holly,Chris Larios,male,establishing a new government
WP502_holly,unknown,unknown,possessing solid gold
WP503_holly,"you've ever seen.  I'm proud of it.  You're disgusting.      
Output: speaker",male,collecting toenail clippings
WP504_holly,parents,not specified,having an honor student child
WP505_holly,parents,not specified,achievements of their children
WP506_holly,Dad,male,son's self-esteem and independence
WP507_holly,parents,not specified,child's resistance to conformity
WP508_holly,parents,not specified,having a cross-eyed little nitwit child
WP509_holly,Brad,male,getting accepted into dental school
WP510_holly,Thomas,male,public offering of 27 million shares of class A common stock
WP511_holly,Mike,male,
WP512_holly,Alfred,male,saving the city
WP513_holly,sir,male,
WP514_holly,Sir,male,being a good teacher
WP515_holly,sir,male,asking for help
WP516_holly,Speaker 1,gender NA,overcoming hard times
WP517_holly,speaker,gender not explicit,overcoming bad years
WP518_holly,stranger,gender NA,brightening a thousand days
WP519_holly,fathers,male,
WP520_holly,speaker,gender not explicit,for helping someone out
WP521_holly,speaker,gender not explicit,for helping someone out
WP522_holly,,,
WP523_holly,parents,not specified,their daughter's resilience
WP524_holly,Maryanne,female,
WP525_holly,,,
WP526_holly,,,
WP527_holly,,,
WP528_holly,,,
WP529_holly,dad,male,doing something valued with life
WP530_holly,man,male,
WP531_holly,Doctor,gender NA,maintaining defiance and being a bad influence
WP532_holly,character 2,gender not explicit,moving the needle in the right direction
WP533_holly,Jenny,female,holding her place in the town
WP534_holly,Mamma,female,learning something
WP535_holly,Mamma,female,child's learning or behavior
WP536_holly,,,
WP537_holly,athletes of Greece,not specified,being the best and joining the voyage
WP538_holly,[Smalls Narrating],male,
WP539_holly,,,
WP540_holly,William's friend,gender not explicit,for being open about who they love
WP541_holly,to know. Father,male,son's acceptance of his homosexuality
WP542_holly,speaker,gender NA,being part of something that matters
WP543_holly,Luis,male,
WP544_holly,speaker,gender not explicit,little brother being smart
WP545_holly,Royal Star carrier,gender not explicit,carrying the Royal Star
WP546_holly,,,
WP547_holly,character,gender not explicit,doing a film they're proud of
WP548_holly,speaker,gender not explicit,having a productive day
WP549_holly,Hexagon,not specified,being the first in the family
WP550_holly,Mister President,male,Hex being the first Hexagon in the family
WP551_holly,sir,male,
WP552_holly,,,
WP553_holly,,,
WP554_holly,Unclear,,for the way the person has been progressing
WP555_holly,Ramona,female,
WP556_holly,Ramona,,washing the Jeep
WP557_holly,Dad,male,
WP558_holly,Dantley,male,perfect car modification
WP559_holly,Grace,female,her joke
WP560_holly,you,gender not explicit,not admitting a mistake
WP561_holly,father,male,
WP562_holly,Dennis,male,
WP563_holly,man,male,kids hanging out and smoking up
WP564_holly,You,gender not explicit,winning something
WP565_holly,Husband,male,becoming a lawyer and soon-to-be father
WP566_holly,Unnamed character,unknown,showing courage
WP567_holly,,,
WP568_holly,,,
WP569_holly,,,
WP570_holly,alumni,not specified,A&T's victory
WP571_holly,alumni,not specified,A&T's victory
WP572_holly,,,
WP573_holly,Not specified,Not specified,
WP574_holly,father,male,hard work of the speaker
WP575_holly,Speaker 1,gender not explicit,bravery
WP576_holly,friend,male,quitting drugs
WP577_holly,Sandro's kid,gender not explicit,being Sandro's child
WP578_holly,,,
WP579_holly,Unnamed character,not specified,Diana Guzman's deadly hook
WP580_holly,,,
WP581_holly,Joey Summerskill,gender NA,having a quality
WP582_holly,,,
WP583_holly,baby,gender not explicit,
WP584_holly,man,male,maintaining dignity and integrity
WP585_holly,,,
WP586_holly,Speaker 1,gender not explicit,selecting Laine Hanson as vice president
WP587_holly,Troy Ellard,male,selecting Laine Hanson as vice president
WP588_holly,Dennis,male,his mom being the vice president
WP589_holly,,,
WP590_holly,Mr. Chairman,male,welcoming esteemed colleague Laine Hanson
WP591_holly,speaker,gender NA,making hate crimes a capital and federal offense
WP592_holly,Mr. Webster,male,
WP593_holly,mother,female,being a contestant on television
WP594_holly,We,not specified,overcoming hardships
WP595_holly,huckleberry,male,
WP596_holly,huckleberry,gender unknown,
WP597_holly,Mr. Saul,male,having a son like Buddy
WP598_holly,Unknown,Unknown,
WP599_holly,Sir,male,being white
WP600_holly,,,
WP601_holly,Just a family,gender not explicit,having a family they can be proud of
WP602_holly,second speaker,gender NA,for not taking pride in presentation
WP603_holly,coach,male,transforming a woman into a lady
WP604_holly,Gracie,female,for her posture and breasts
WP605_holly,Unknown,Unknown,achieving a miraculous thing
WP606_holly,Gary,male,
WP607_holly,You,gender NA,having him there
WP608_holly,,,
WP609_holly,FBI Enforcement Bulletin,not specified,
WP610_holly,,,
WP611_holly,Crutch,male,participating in competition
WP612_holly,Ernest,male,for accomplishing something nobody else could have done
WP613_holly,grandmother,female,
WP614_holly,,,
WP615_holly,,,
WP616_holly,proud warrior,not specified,
WP617_holly,,,
WP618_holly,job applicant,male,
WP619_holly,speaker,gender not explicit,leading a covert operation
WP620_holly,,,
WP621_holly,"""They""",,no sugar added to food
WP622_holly,mama,female,"her dog learning to say ""Tupac"""
WP623_holly,J,male,owning a house
WP624_holly,,,
WP625_holly,,,
WP626_holly,Henry,male,being acknowledged as a hero
WP627_holly,group,not specified,
WP628_holly,speaker 3,gender not explicit,for the boys' achievement possibly related to restroom visits)
WP629_holly,Mr. Skolnick,male,
WP630_holly,Mr. Skolnick,male,Gilbert's achievement
WP631_holly,Gilbert,male,being a nerd
WP632_holly,Sheriff,male,not talking under torture
WP633_holly,He,male,his large erection
WP634_holly,Honey,female,improving grades through persuasion
WP635_holly,Omri,male,being from Texas
WP636_holly,,,
WP637_holly,,,
WP638_holly,,,
WP639_holly,first speaker,gender NA,making a life for oneself
WP640_holly,Squirly,male,having crafty girlfriends
WP641_holly,We,male,being part of the few and the proud
WP642_holly,,,
WP643_holly,Doyle,male,saving the world
WP644_holly,Doyle,male,saving the world
WP645_holly,speaker,gender NA,birth of grandson
WP646_holly,Dad,male,son's great performance
WP647_holly,Tom,male,maintaining personal appearance and cleanliness
WP648_holly,father,male,son stepping up
WP649_holly,unknown,unknown,for the speaker's girlfriend
WP650_holly,speaker,male,dating a girl
WP651_holly,Vince,male,
WP652_holly,Max,male,
WP653_holly,You're damn right,male,advising Kennedy to send advisors to Vietnam
WP654_holly,Papa,male,
WP655_holly,waiter,male,being a waiter
WP656_holly,,,
WP657_holly,Bob Wheeler,male,being a successful attorney and having a successful partner
WP658_holly,Jeffrey,male,dating again
WP659_holly,,,
WP660_holly,Ma,female,her son being a preoperative transsexual lesbian
WP661_holly,Ma,female,for her kids
WP662_holly,Parent,gender not explicit,proud of their kids
WP663_holly,,,
WP664_holly,Chuck Farling,male,
WP665_holly,Jeffrey,male,celebrating Gay Pride Day
WP666_holly,mother,female,participating in Gay Pride celebration
WP667_holly,Angelique,female,for being true to her identity
WP668_holly,Lester's,,presenting the Possum Posse Jamboree
WP669_holly,Max,male,saving someone's life
WP670_holly,speaker,gender not explicit,child reaching 18 years of age
WP671_holly,speaker,gender not explicit,reaching 18th birthday
WP672_holly,mother,female,son's performance
WP673_holly,Mr. Bedford,male,
WP674_holly,unknown,unknown,handling a situation after an injury
WP675_holly,William's mom,female,William's acceptance of a scholarship to play at Marquette
WP676_holly,mom,female,accepting a scholarship to play at Marquette
WP677_holly,She,female,her baby's graduation
WP678_holly,Mother,female,child's graduation
WP679_holly,Captains,not specified,doing a hell of a job
WP680_holly,Lord Vader,male,constructing a powerful technological station
WP681_holly,girl in violet dress,female,being good while her father is away
WP682_holly,speaker,gender not explicit,
WP683_holly,mother,female,
WP684_holly,speaker 2,gender not explicit,speaker 1's goodness
WP685_holly,,,
WP686_holly,Charlie's parent,gender NA,Charlie's actions specific reason not given)
WP687_holly,Charlie's parent,gender NA,Charlie's achievements
WP688_holly,Jean Paul Gaultier,male,being different and proud about it
WP689_holly,,,
