Message_id,Person Who Felt the Emotion,Gender,Cause
p57_bolly,speaker,,other's achievements
p58_bolly,son,male,
p59_bolly,speaker,,
p60_bolly,,,
p61_bolly,speaker,male,making speaker proud by doing something commendable
p62_bolly,,,
p63_bolly,speaker,male,making speaker proud by doing something commendable
p64_bolly,dear ones,,
p65_bolly,father,male,son's victory
p66_bolly,Baldev Singh,male,Winning a silver medal for India in boxing
p67_bolly,speaker 1,gender not specified,son's future actions
p68_bolly,speaker,male,spirit of dedication
p69_bolly,son,male,fighting for the country
p70_bolly,speaker,,patriotism
p71_bolly,,,
p72_bolly,speaker,male,doing something for parents
p73_bolly,dear ones,,
p74_bolly,father,male,son's victory
p75_bolly,Baldev Singh,male,Winning a silver medal for India in boxing
p76_bolly,speaker,male,son's future actions
p77_bolly,speaker,male,spirit of dedication
p78_bolly,speaker,male,fighting for the pride of his country
p79_bolly,speaker,male,fighting for country
p80_bolly,,,
p81_bolly,speaker,male,son's actions
p82_bolly,chief guest,,bravery and service to the country
p83_bolly,son,male,being the son of a great mother
p84_bolly,Mr. Chowgale,male,Arjun's courageous work
p85_bolly,Shobha,female,saving family's pride
p86_bolly,Shobhaji,female,saving family's pride and for the sake of loved ones
p87_bolly,Shobha,female,saving family's pride by hiding pre-marital pregnancy
p88_bolly,Shobha,female,saving someone's pride
p89_bolly,speaker,,love for someone
p90_bolly,speaker,male,entrusted with a mission
p91_bolly,speaker,,embassy's reputation and performance
p92_bolly,speaker,,Winning awards
p93_bolly,,,
p94_bolly,Renu,female,never accepting defeat
p95_bolly,mother,female,son's realization and standing up for himself
p96_bolly,second speaker,,being empathetic and considerate towards the poor
p97_bolly,,,
p98_bolly,Yashoda,female,Kishan
p99_bolly,,,
p100_bolly,son,male,father's income earned in a wrong manner
p101_bolly,Yash,male,strength
p102_bolly,Yash,male,
p103_bolly,Avtar Kishen,male,self-reliance
p104_bolly,guru,male,student's honesty
p105_bolly,speaker,,
p106_bolly,father,male,supporting someone
p107_bolly,,,
p108_bolly,Ronnie,male,being a superstar and popular
p109_bolly,Grandpa,male,
p110_bolly,mother,female,son's bravery and sacrifice
p111_bolly,grandpa,male,grandson's potential cricket career
p112_bolly,Azhar,male,sports achievement
p113_bolly,speaker,male,professional achievement
p114_bolly,speaker,male,accomplishment in job
p115_bolly,Bhokelal Mupe Chatora,male,
p116_bolly,Bhokelal Mupe Chatora,male,
p117_bolly,Bhokelal Mupe Chatora,male,
p118_bolly,Vikram Charan Chaturvedi,male,crossing borders for relationships
p119_bolly,speaker,male,Aftab's courageous act
p120_bolly,speaker,male,Aftab's courage
p121_bolly,Bala,male,
p122_bolly,Bala,male,self-belief and confidence
p123_bolly,Bala,male,
p124_bolly,he,male,
p125_bolly,Governor,,selfless act of donation
p126_bolly,Mr Thapar,male,wife's achievements
p127_bolly,manager/pimp,male,beauty
p128_bolly,PP Khurana,male,Training the heroine in dance drama and self-defense
p129_bolly,speaker,,mistreatment of Queen Devasena
p130_bolly,Aslam,male,
p131_bolly,Jai,male,professional achievement
p132_bolly,Ramu,male,
p133_bolly,Baba,male,taking over Laxmi Niwas
p134_bolly,dolls,,their own looks
p135_bolly,Chheda Sir,male,resilience and determination
p136_bolly,Reganto,,Acquisition of land
p137_bolly,Rizwan Ahmed,male,Skycom's stock trading at ceiling price
p138_bolly,Manju,female,
p139_bolly,speaker,,bravery and daring nature
p140_bolly,mother,male,son's care and support
p141_bolly,mother,male,son's care and support
p142_bolly,mother,male,son's care and support
p143_bolly,speaker 1,,
p144_bolly,woman,female,defending self-respect
p145_bolly,Raj Sharma,male,Radhika's success
p146_bolly,Raj Sharma,male,Radhika's success
p147_bolly,father,male,daughter's choice of partner
p148_bolly,,,
p149_bolly,,,
p150_bolly,Sundar Kala,male,his men's abilities
p151_bolly,,,
p152_bolly,Surajbhan Singh,male,having Vijay as his disciple
p153_bolly,Surajbhan Singh,male,having Vijay as his disciple
p154_bolly,wife,female,marrying against family's wish
p155_bolly,Badri's mother and father,,
p156_bolly,Badri's mother and father,female,
p157_bolly,mother-in-law,female,daughter-in-law's politeness
p158_bolly,sir,male,being chosen as heir to takshasila
p159_bolly,,,
p160_bolly,man,male,fulfilled his promise
p161_bolly,Princess,female,protecting a gypsy
p162_bolly,Queen - Mother,female,patriotism
p163_bolly,man,male,hard work and honesty
p164_bolly,father,male,returning home after a long time
p165_bolly,Zeenat,female,
p166_bolly,Rajeshwari,female,
p167_bolly,speaker,,family honor
p168_bolly,,,
p169_bolly,<speaker,,
p170_bolly,friends,,
p171_bolly,bank authority,,Employee's performance
p172_bolly,speaker,,victory over enemy
p173_bolly,speaker,,Banaras city
p174_bolly,<speaker,,
p175_bolly,<speaker,,city of Banaras
p176_bolly,aunty,female,
p177_bolly,,,
p178_bolly,woman,female,faithfulness in relationship
p179_bolly,Rukmini,female,
p180_bolly,Bhavna,female,husband's infidelity
p181_bolly,Rukhmani,female,
p182_bolly,,,
p183_bolly,dad,male,son's dedication to work
p184_bolly,speaker,,facing death fearlessly
p185_bolly,speaker,,
p186_bolly,speaker,,bravery and duty fulfillment
p187_bolly,person being addressed,male,brave deeds in work
p188_bolly,Indian police force,,bravery and duty fulfillment
p189_bolly,Daddy,male,fulfilling dreams
p190_bolly,speaker,,fulfilling speaker's dreams
p191_bolly,character,male,father's wealth
p192_bolly,character,male,father's wealth
p193_bolly,Sanjay,male,
p194_bolly,speaker,,bravery in love
p195_bolly,speaker,male,bravery and readiness to die for love
p196_bolly,brother,male,maintaining standard of sweets
p197_bolly,Brother,male,improving the shop
p198_bolly,wife,female,saving a life
p199_bolly,Suraj,male,saving a life over personal gain
p200_bolly,speaker,,Being an Indian
p201_bolly,,,
p202_bolly,unknown,,
p203_bolly,mother,female,son's marriage
p204_bolly,Pannalal,male,Invited for a music conference
p205_bolly,speaker,male,defending Indian honor
p206_bolly,Hanumant Singh,male,being a landlord
p207_bolly,Hanumant Singh,male,professional advancement
p208_bolly,Vijay,male,
p209_bolly,Vijay,male,
p210_bolly,Begum Jaan,female,raising her own army and carving a niche in history
p211_bolly,Sunaina,female,
p212_bolly,Farooq,male,marrying a young bride
p213_bolly,husband,male,having a simple and educated wife
p214_bolly,speaker,male,supporting underprivileged children
p215_bolly,speaker,,defeating a monster
p216_bolly,Benny,male,getting a job
p217_bolly,speaker,,overcoming struggles
p218_bolly,speaker 2,,speaker 1's achievement of becoming a waiter
p219_bolly,Mr. Benny,male,getting a job
p220_bolly,speaker,,overcoming struggles
p221_bolly,speaker 2,male,speaker 1's resilience and ability to survive
p222_bolly,mother,female,son's choice of spouse
p223_bolly,son,male,confidence in daughter-in-law's capabilities
p224_bolly,Mainawati,female,son's choice of spouse
p225_bolly,world,,women's empowerment and independence
p226_bolly,Dingy,female,keeping her word
p227_bolly,Shekhar,male,winning a competition
p228_bolly,second speaker,,self-confidence
p229_bolly,speaker,male,winning over a girl's heart and acceptance of their love
p230_bolly,Munshi,male,
p231_bolly,Munshi,male,
p232_bolly,Anjali,female,taking care of family and upholding imparted values
p233_bolly,,,
p234_bolly,father,male,daughter's high salary
p235_bolly,,,
p236_bolly,,,
p237_bolly,Mayera,female,
p238_bolly,Sehgal Sir,male,becoming CEO of a company
p239_bolly,Kaptaan,male,Bhangra performance
p240_bolly,people,,development of the country
p241_bolly,Vilayati,male,marrying a white girl
p242_bolly,speaker,,keeping family together
p243_bolly,Mr. Anand,male,living with a girl without marriage
p244_bolly,speaker,male,friend's engagement
p245_bolly,Ranjeet Thadani,male,
p246_bolly,<speaker,,
p247_bolly,father,male,daughter's wedding
p248_bolly,speaker,gender not explicit,living with dignity despite adversities
p249_bolly,Bhoomi,female,standing up against oppression
p250_bolly,Dev,male,
p251_bolly,,,
p252_bolly,friend,,high-caliber
p253_bolly,sir,male,player's performance and leadership
p254_bolly,Mari Pandi Kani,male,Winning a match
p255_bolly,speaker,,Sports achievement
p256_bolly,,,
p257_bolly,husband,male,wife's success
p258_bolly,Billu,male,self-determination and independence
p259_bolly,brother-in-law,male,Ravi's actions
p260_bolly,speaker,,being respected by community
p261_bolly,Billu,male,being respected by his community
p262_bolly,community,male,Billu's unpredictable actions
p263_bolly,father,male,son's achievement
p264_bolly,father,male,son's professional success
p265_bolly,village of Budbuda,,association with a celebrity
p266_bolly,Sahir Khan,male,Achievements in film industry
p267_bolly,friend,,being challenged
p268_bolly,he,male,scientific discovery
p269_bolly,woman,female,Deception
p270_bolly,man,male,self-reliance
p271_bolly,papa,male,son's achievement
p272_bolly,father,male,daughter's achievement
p273_bolly,Bobby,female,
p274_bolly,father,male,Bobby's future achievements
p275_bolly,speaker 1,,not causing shame but being a source of pride
p276_bolly,,,
p277_bolly,Keerthi,female,her wealth
p278_bolly,speaker,,having the other person in their life
p279_bolly,speaker,,
p280_bolly,speaker,,having the person they are speaking to
p281_bolly,speaker,,
p282_bolly,father,male,child's achievements
p283_bolly,,,
p284_bolly,speaker 2,,bringing pride to family
p285_bolly,first speaker,,bringing pride to family
p286_bolly,speaker,male,demolition of Babri Mosque
p287_bolly,speaker,male,demolition of Babri mosque
p288_bolly,Dharma,male,Going to London for world medal title
p289_bolly,any man,male,choice of partner
p290_bolly,speaker,,possession of a powerful weapon
p291_bolly,Gulati,,
p292_bolly,him,male,
p293_bolly,son,male,having three swimming pools
p294_bolly,,,
p295_bolly,man,male,having a pretty wife
p296_bolly,David/Monty,male,performance in the ring
p297_bolly,announcer,,being a fighter
p298_bolly,Jawans,male,official function
p299_bolly,Budhia,male,becoming the youngest Marathon runner in the world
p300_bolly,everybody,,
p301_bolly,Budhia,male,athletic achievement
p302_bolly,speaker,,Budhia's athletic achievements
p303_bolly,speaker 2,,no starvation deaths
p304_bolly,speaker,,no starvation deaths and no children being sold
p305_bolly,speaker,,No starvation deaths and no children being sold
p306_bolly,Biranchi,male,
p307_bolly,thakur family,,uphold traditions and local law
p308_bolly,judge,male,sacrificing life for justice
p309_bolly,brother,male,adherence to traditional rules
p310_bolly,sister,female,brother's justice
p311_bolly,Jaganath,male,standing up for justice and faith
p312_bolly,judge,male,protecting honor with life
p313_bolly,Paroma,female,future success
p314_bolly,Jayshri Aunty,female,family member's professional achievement
p315_bolly,Narangs,,Winning horse races
p316_bolly,first speaker,,
p317_bolly,,,
p318_bolly,father,male,child's fame
p319_bolly,father,male,child's fame
p320_bolly,speaker,,contribution of Bengalis to various fields
p321_bolly,other person,,social service and patriotism
p322_bolly,speaker,,potential political achievement
p323_bolly,Principal,,student's achievement
p324_bolly,husband,male,wife
p325_bolly,Vinita's mother,female,Acceptance of decision
p326_bolly,husband,male,wife
p327_bolly,Dayal,male,serving the family
p328_bolly,Manju,male,his cab
p329_bolly,speaker,,Manju's attractiveness or popularity
p330_bolly,child,gender not explicit,father's bravery
p331_bolly,child,,father's actions
p332_bolly,Chandni,female,
p333_bolly,father,male,honour
p334_bolly,speaker,male,successful coaching stint in Sri Lanka
p335_bolly,John Kakkar,male,Sports achievement
p336_bolly,disciple,,devotion to master
p337_bolly,Kabir Khan,male,Coaching a national team
p338_bolly,speaker,,serving the master
p339_bolly,Kabir Khan,male,team's performance
p340_bolly,speaker,,being part of the winning team
p341_bolly,Kabir Khan,male,Winning a trophy for India
p342_bolly,man on the street,male,raising the status of national game
p343_bolly,Kabir Khan,male,raising the status of the national game
p344_bolly,speaker,,devotion to master
p345_bolly,Dad,male,daughter-in-law's achievement
p346_bolly,<divine master,male,devotion and service to master
p347_bolly,Coach Kabir Khan,male,Coaching a national team
p348_bolly,third colour,,being someone's master
p349_bolly,Coach Kabir Khan,male,team's performance
p350_bolly,speaker,,Team India becoming World Champions
p351_bolly,Kabir Khan,male,Winning a trophy for India
p352_bolly,Kabir Khan,male,raising the status of the national game
p353_bolly,Kabir Khan,male,raising the status of the national game
p354_bolly,speaker 1,,devotion to master
p355_bolly,Dad,male,daughter-in-law's achievement
p356_bolly,Govind,male,
p357_bolly,<NA,,
p358_bolly,girl,female,confidence in getting a job
p359_bolly,girl,female,confidence in getting a job
p360_bolly,Dharampal,male,owning a large vehicle
p361_bolly,aunt,female,niece's success in fashion design
p362_bolly,aunt,female,niece's success in fashion design
p363_bolly,authority,,Sports achievement
p364_bolly,Mr. Ramayan's son,male,
p365_bolly,Sir,male,doing duty properly
p366_bolly,speaker,,improvement of the group
p367_bolly,speaker,,
p368_bolly,rich people,,their wealth
p369_bolly,Chandni,female,being loved by Rohit
p370_bolly,speaker,gender not explicit,being loved by the person they love
p371_bolly,grandfather,male,freedom fighting
p372_bolly,<NA,,
p373_bolly,Mumbai police,,honesty
p374_bolly,police commissioner,male,performing his duty
p375_bolly,Yadav,male,given the job of minister's security
p376_bolly,Chatur Singh,male,professional achievement
p377_bolly,speaker,male,respect of his work
p378_bolly,you,,owning the 'Kohinoor
p379_bolly,restaurant owner,male,maintaining high standards in restaurant business
p380_bolly,Neena Verma,female,
p381_bolly,<NA,,
p382_bolly,speaker,male,maintaining high standards in culinary art
p383_bolly,Buddhadev Gupta,male,self-esteem
p384_bolly,,,
p385_bolly,speaker,male,culinary skills
p386_bolly,Ary,male,helping in tasks
p387_bolly,narrator,,dedication to work
p388_bolly,Mummy,female,
p389_bolly,Archana Ma'am,female,Malti's success
p390_bolly,parents,,
p391_bolly,,,
p392_bolly,<speaker,,achieving a high score
p393_bolly,friend,male,writing skills
p394_bolly,speaker,male,proving himself
p395_bolly,speaker,,belonging to a particular community and its heritage
p396_bolly,character,,belonging to his community and ancestry
p397_bolly,speaker,,birthplace and community
p398_bolly,Gurung,male,valiant soldier
p399_bolly,speaker,male,academic achievement of children
p400_bolly,father,male,son's government job
p401_bolly,grandchild,male,grandmother's contribution to the garden
p402_bolly,poor helpless woman,female,self-respect
p403_bolly,speaker,,Humility despite foreign education
p404_bolly,speaker 2,,son's bravery
p405_bolly,Master,male,being selected for a task
p406_bolly,speaker,,building palaces and giving pride
p407_bolly,speaker,,building palaces and giving pride
p408_bolly,Binodini,female,acceptance of her letters
p409_bolly,moustache man,male,bravery and commitment to job
p410_bolly,Sir,male,Trust in moustached men
p411_bolly,Mr. Pandey,male,professional achievement
p412_bolly,man,male,having a moustache
p413_bolly,Ram/Shyam,male,having a moustache
p414_bolly,Pandey,male,wearing uniform and taking risks
p415_bolly,Ram,male,
p416_bolly,Maratha Regiment,,Col Bakshi's achievements
p417_bolly,speaker,,professional achievement
p418_bolly,speaker,,Jwala's loyalty and willingness to sacrifice
p419_bolly,speaker,,Love
p420_bolly,Suraj,male,receiving love
p421_bolly,Acharyaji,male,
p422_bolly,father,male,son's bravery
p423_bolly,speaker,male,association with Friscon
p424_bolly,Nishi,female,Megha's success
p425_bolly,speaker,,self-reliance
p426_bolly,author,,being an Indian and people reading his book
p427_bolly,,,
p428_bolly,father,male,son's future achievements
p429_bolly,policeman,male,love
p430_bolly,speaker,,maintaining self-respect
p431_bolly,mother-in-law,female,husband's actions
p432_bolly,person on TV,,outsmarting the police
p433_bolly,speaker,female,her lover
p434_bolly,,,
p435_bolly,Mr. Kundan,male,Academic achievement
p436_bolly,master Dinanath,male,writing the best book of the year and creating the best melody of unity
p437_bolly,Kundan,male,his poems
p438_bolly,speaker,,Friendship
p439_bolly,master,male,adherence to principles
p440_bolly,master,male,principles and integrity
p441_bolly,Gopu,male,clever plan and execution
p442_bolly,Chulbul,male,professional success
p443_bolly,son-in-law,male,political achievement
p444_bolly,Mr. Pandey,male,
p445_bolly,Mr. Gupta,male,wealth
p446_bolly,,,
p447_bolly,Damini's husband,male,standing up for justice
p448_bolly,husband,male,wife's courage
p449_bolly,Shekhar,male,being Damini's husband
p450_bolly,Laila ji,female,maintaining dignity and not letting the rival win
p451_bolly,Mohnish,male,
p452_bolly,Radha,female,physical strength
p453_bolly,He,male,his uniform
p454_bolly,He,male,his uniform
p455_bolly,Vishal,male,offering himself first for search
p456_bolly,Assistant Commissioner of Police,male,his uniform
p457_bolly,entire district of Bhivvani,,Sports achievement
p458_bolly,Mahavir Singh,male,future potential of making the nation proud through sports
p459_bolly,father,male,daughters' wrestling achievement
p460_bolly,narrator,,Hosting international event
p461_bolly,Mahavir Singh Phogat,male,Daughter's sports achievement
p462_bolly,father,male,daughter's sports achievement
p463_bolly,Mr. Shamim,male,Geeta's wrestling match
p464_bolly,speaker,,Geeta's achievement
p465_bolly,uncle,male,
p466_bolly,speaker,male,accumulation of wealth
p467_bolly,Sunil,male,bravery and successful task execution
p468_bolly,,,
p469_bolly,,,
p470_bolly,Lord,male,beauty of a woman
p471_bolly,state,,Women's College as an esteemed organisation
p472_bolly,sister,female,
p473_bolly,dead sister,female,
p474_bolly,speaker 1,,well-dressed appearance
p475_bolly,,,
p476_bolly,speaker,male,
p477_bolly,,,
p478_bolly,parents,male,son's achievement
p479_bolly,boy,male,protecting government treasure
p480_bolly,Lambas,,family honor
p481_bolly,Lambas,,family honor
p482_bolly,speaker,male,receiving an honour
p483_bolly,my darling,female,making a beautiful film
p484_bolly,Kaira,female,getting her first break
p485_bolly,first speaker,male,
p486_bolly,speaker,,son's courage and faith in love
p487_bolly,Suraj,male,courage to fight for love
p488_bolly,Saxena,male,
p489_bolly,we,,courage
p490_bolly,Arjun Saxena,male,parents' upbringing and education
p491_bolly,daughter,female,enduring hardships without complaint
p492_bolly,Mr. Javed,male,maintaining false pride
p493_bolly,Akhtar,male,accepting Firdaus as his slave
p494_bolly,Firdaus,female,acceptance by the mother
p495_bolly,Anita,female,
p496_bolly,<speaker,,
p497_bolly,Anita,female,
p498_bolly,woman,female,reciting poems
p499_bolly,speaker,,
p500_bolly,speaker,,bravery and dedication in police service
p501_bolly,speaker,,mother's self-respect and independence
p502_bolly,speaker,,Delhi city
p503_bolly,sir,male,team's effort
p504_bolly,Abi's wife,female,being loved and understood by her husband
p505_bolly,Shiv,male,job
p506_bolly,<tobacco seller,male,selling more tobacco than ayurvedic paste
p507_bolly,speaker,,maintaining honor and pride of department
p508_bolly,Sameer's father,male,Sameer's fight for truth
p509_bolly,son,male,
p510_bolly,mentor,male,pupil's success
p511_bolly,Byomkesh Bakshy,male,solving a sensational murder and blackmail case
p512_bolly,daughter,female,getting a massive order
p513_bolly,Tony,male,daughter's achievement
p514_bolly,first speaker,,personal virtues and upcoming wealth
p515_bolly,Kaushalya,female,daughter's success
p516_bolly,mother-in-law,female,wisdom or clever words
p517_bolly,mother-in-law,female,
p518_bolly,Paro,female,
p519_bolly,speaker,male,inability to provide financial support
p520_bolly,father,male,daughter's discipline and morals
p521_bolly,dear,,following traditions and customs
p522_bolly,groom,male,taking the seven holy vows
p523_bolly,speaker,,personal attributes and achievements
p524_bolly,person who attacked,male,physical strength
p525_bolly,wife,female,husband's bravery and honesty
p526_bolly,Devika,female,saving Bajrang Pandey
p527_bolly,mother,female,
p528_bolly,Monty Singh Walia,male,winning the championship
p529_bolly,Southall,,Football achievement
p530_bolly,Southall,,Football achievement
p531_bolly,speaker,,performance in football
p532_bolly,speaker,,Winning a football match
p533_bolly,speaker,,Winning a football match
p534_bolly,Monty Singh Walia,male,winning the championship
p535_bolly,we,,preserving heritage and identity
p536_bolly,Southall,,Football achievement
p537_bolly,speaker,,representing country in a game
p538_bolly,speaker,,Winning a football match
p539_bolly,speaker,,Winning a football match
p540_bolly,Samsher Singh's father,male,having a son
p541_bolly,Thakur,male,
p542_bolly,dacoit,male,surrender to law
p543_bolly,teacher,,having a good student
p544_bolly,,,
p545_bolly,Thakur,male,use of strength in the right way
p546_bolly,Ranjit's father,male,son's achievement as an entertainer
p547_bolly,,,
p548_bolly,amma,female,family matters being handled without involving police
p549_bolly,Reshma,female,giving birth to brave sons
p550_bolly,speaker,,Helping another country
p551_bolly,Bharat,male,Academic achievement
p552_bolly,speaker,,success of someone from their hometown
p553_bolly,speaker,,love for someone
p554_bolly,Eyes,,being in love
p555_bolly,Shankar,male,
p556_bolly,buddy,male,professional work for community's pride
p557_bolly,Danish,male,achieving martyrdom
p558_bolly,girl,female,
p559_bolly,,,considering self superior
p560_bolly,future wife,female,husband's respectable job
p561_bolly,bhai,male,son's rise in underworld
p562_bolly,nephews,male,being related to a respected person
p563_bolly,Sakhubai,female,
p564_bolly,Mrs Sandhya Sinha,female,freedom and nation building
p565_bolly,Raja,male,
p566_bolly,,,
p567_bolly,madam,female,Winning Aman Cup
p568_bolly,Sir,male,heading to Lahore
p569_bolly,Miss India,female,
p570_bolly,player,male,his skills in the game
p571_bolly,Jamaal,male,
p572_bolly,speaker 1,,personal achievement
p573_bolly,Mala,female,
p574_bolly,lover,,
p575_bolly,I Dev Cana,male,fulfilling promises
p576_bolly,celebrity,,chosen as the face of advertising
p577_bolly,,,
p578_bolly,Nimish,male,doing the right thing
p579_bolly,Prince Harshvardhan,male,
p580_bolly,speaker,,
p581_bolly,Arun,male,Singing well
p582_bolly,Rajesh Saxena,male,sister's marriage to a prince
p583_bolly,man,male,high standard and status
p584_bolly,speaker,male,high standard and status
p585_bolly,,,
p586_bolly,bridegroom,male,found a beautiful bride
p587_bolly,Nahe,male,football achievement
p588_bolly,,,
p589_bolly,daughter,female,father's military service
p590_bolly,speaker,,sacrifice for the country
p591_bolly,entire county,,sacrifice for the country
p592_bolly,county,,Martyrdom
p593_bolly,entire county,,Martyrdom
p594_bolly,entire country,,Martyrdom
p595_bolly,entire county,,Martyrdom
p596_bolly,county,,Martyrdom
p597_bolly,entire county,,Martyrdom
p598_bolly,entire county,,Martyrdom
p599_bolly,entire county,,Martyrdom
p600_bolly,India,,Martyrs' sacrifice
p601_bolly,county,,Martyrdom
p602_bolly,county,,Sacrifice for the country
p603_bolly,entire county,,sacrifice for the country
p604_bolly,mother,female,son's sacrifice for the country
p605_bolly,sir,male,brother's martyrdom
p606_bolly,father,male,daughter's choice of partner
p607_bolly,speaker,male,sacrifice for a friend
p608_bolly,father,male,duty towards country
p609_bolly,son,male,father's dedication to duty
p610_bolly,father,male,patriotism
p611_bolly,Sage Gobind Singh,male,sacrifice for duty and country
p612_bolly,father,male,bravery
p613_bolly,Raksha's husband,male,wife's success
p614_bolly,Asha,female,
p615_bolly,Anand,male,giving status of wife to Sheela
p616_bolly,Pari's acquaintances,,Organ donation
p617_bolly,Pari,female,organ donation
p618_bolly,us,,organ donation
p619_bolly,Pari,female,organ donation
p620_bolly,,,
p621_bolly,father,male,son's future achievements
p622_bolly,,,
p623_bolly,,,
p624_bolly,,,
p625_bolly,,,
p626_bolly,,,
p627_bolly,father,male,
p628_bolly,speaker,male,being a good and smart person
p629_bolly,,,
p630_bolly,speaker,male,son's appearance
p631_bolly,brother,male,agreeing to marriage
p632_bolly,father,male,son's actions
p633_bolly,Dharamveer Malhotra,male,
p634_bolly,Dharamveer Malhotra,male,
p635_bolly,father,male,having a good daughter
p636_bolly,father,male,son's actions
p637_bolly,<royal flower,,its fragrance
p638_bolly,,,
p639_bolly,,,
p640_bolly,second speaker,female,winning best actress award
p641_bolly,father,male,hard work and honesty
p642_bolly,Shohaib,male,
p643_bolly,speaker,male,love
p644_bolly,,,
p645_bolly,,,
p646_bolly,Urvil,male,efficiency
p647_bolly,wife,female,husband's achievements
p648_bolly,father,male,son's self-respect
p649_bolly,speaker,,daughter becoming a devadasi
p650_bolly,speaker,,biggest catch by Delhi police
p651_bolly,Papa,male,
p652_bolly,father,male,son's academic achievement
p653_bolly,son,male,physical maturity
p654_bolly,son,male,
p655_bolly,son,male,being an Army man
p656_bolly,speaker,,defending family honor
p657_bolly,father,male,son's profession
p658_bolly,speaker,,defending family honor
p659_bolly,Vijay's superior,male,Eagerness for dangerous duty
p660_bolly,you,male,serving the nation
p661_bolly,speaker,,Sacrifice for nation
p662_bolly,Nlangal Singh,male,power and reputation
p663_bolly,owner/manager,,owning a company
p664_bolly,speaker,female,marriage
p665_bolly,Lakshmi,female,innovation
p666_bolly,speaker 2,,speaker 1's age and bachelor status
p667_bolly,speaker,,Raghav Chetan's talent
p668_bolly,Alauddin,male,Queen Padmavati
p669_bolly,character,male,maintaining dignity and honor
p670_bolly,Queen Padmavati,female,defending the pride of Rajputs
p671_bolly,"     
you",male,not losing pride despite losing crown
p672_bolly,Yaman,male,Protecting Mewari pride
p673_bolly,Queen,female,maintaining dignity and honor
p674_bolly,warrior,male,possession of the sword
p675_bolly,Padmavati,female,
p676_bolly,Queen,female,preserving honor and dignity
p677_bolly,Madhavi,female,
p678_bolly,father,male,daughter's dance performance
p679_bolly,father,male,daughter's dance performance
p680_bolly,,,
p681_bolly,,,
p682_bolly,<NA,,
p683_bolly,,,
p684_bolly,,,
p685_bolly,,,
p686_bolly,,,
p687_bolly,Parvati's father,male,Parvati's professional achievement
p688_bolly,,,
p689_bolly,father,male,losing virginity
p690_bolly,Lajjo,female,
p691_bolly,Sajan,male,Upholding friendship
p692_bolly,Rai Sahab,male,being an exceptional teacher
p693_bolly,Rai Sahab,male,improvement in children's behavior
p694_bolly,speaker,,contribution to the country
p695_bolly,speaker,,love for country
p696_bolly,speaker,,love for country
p697_bolly,,,
p698_bolly,character 1,,societal acceptance and respect
p699_bolly,speaker 1,,speaker 2's achievement
p700_bolly,speaker,,preserving traditional culture
p701_bolly,speaker 2,male,being a Gujarati
p702_bolly,,,
p703_bolly,Kantibhai Goradia,male,collecting antique artifacts of Gujarat and owning seven cow shades
p704_bolly,He,male,Gujarati pride
p705_bolly,,,
p706_bolly,Kantibhai,male,not selling the pride of Gujarat
p707_bolly,speaker 1,,heritage of Gujarat
p708_bolly,speaker 1,,heritage and culture
p709_bolly,character 1,,
p710_bolly,son,male,fulfilling father's dream
p711_bolly,mom,female,defending Radha's innocence
